question,gremlin_query
查询 Billy Dee Williams 主演的电影中时长超过一个半小时的作品名称及其对应时长。,"g.V().has('Person', 'name', 'Billy Dee Williams').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
获取电影《Gravity》的标题是什么？,"g.V().has('Movie', 'title', 'Gravity').values('title')"
电影《Gravity》的片名怎么查？,"g.V().has('Movie', 'title', 'Gravity').values('title')"
"查询名为""Gravity""的电影标题值。","g.V().has('Movie', 'title', 'Gravity').values('title')"
找出电影《指环王：双塔奇兵》所属的所有电影类型。,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Two Towers').out('HAS_GENRE').elementMap()"
《指环王：双塔奇兵》这部电影被归类为哪些类型？,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Two Towers').out('HAS_GENRE').elementMap()"
查询与《指环王：双塔奇兵》相关联的所有电影类型有哪些？,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Two Towers').out('HAS_GENRE').elementMap()"
列出 Cate Blanchett 出演的所有超过 90 分钟的电影名称和对应时长。,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
Cate Blanchett 演了哪些时长大于 90 分钟的电影？告诉我片名和时长。,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询 Cate Blanchett 主演的电影中，哪些片长超过 90 分钟，并显示片名和时长信息。,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
列出 Jeremy Renner 出演的那些片长超过两小时的电影名称和时长。,"g.V().has('Person', 'name', 'Jeremy Renner').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Jeremy Renner 演了哪些时长在 120 分钟以上的影片？告诉我片名和具体时长。,"g.V().has('Person', 'name', 'Jeremy Renner').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询 Jeremy Renner 主演的电影中，哪些电影的播放时间超过了 120 分钟，并显示这些电影的标题和时长信息。,"g.V().has('Person', 'name', 'Jeremy Renner').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Vincent Schiavelli 出演了多少部作品？,"g.V().has('Person', 'name', 'Vincent Schiavelli').out('ACTED_IN').count()"
统计 Vincent Schiavelli 作为演员参演的影视作品总数。,"g.V().has('Person', 'name', 'Vincent Schiavelli').out('ACTED_IN').count()"
有多少条 ACTED_IN 关系从 Vincent Schiavelli 节点出发？,"g.V().has('Person', 'name', 'Vincent Schiavelli').out('ACTED_IN').count()"
列出 Billy Dee Williams 参演的所有超过两小时的电影名称和对应时长。,"g.V().has('Person', 'name', 'Billy Dee Williams').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
哪些由 Billy Dee Williams 出演的电影时长超过了120分钟？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Billy Dee Williams').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
查询 Billy Dee Williams 主演的电影中，放映时间大于120分钟的影片标题及持续时间。,"g.V().has('Person', 'name', 'Billy Dee Williams').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
列出 Christian Bale 出演且片长超过一个半小时的所有影片名称和时长。,"g.V().has('Person', 'name', 'Christian Bale').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
Christian Bale 演了哪些时长超过 90 分钟的电影？告诉我电影名和具体片长。,"g.V().has('Person', 'name', 'Christian Bale').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询由 Christian Bale 主演的，播放时间大于 90 分钟的影视作品，返回作品标题和时长信息。,"g.V().has('Person', 'name', 'Christian Bale').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
获取名为'Rudy Bond'的Person实体的名称属性是什么？,"g.V().has('Person', 'name', 'Rudy Bond').values('name')"
查询人物Rudy Bond的姓名信息。,"g.V().has('Person', 'name', 'Rudy Bond').values('name')"
在图中找出类型为Person且名字是Rudy Bond的节点，返回其name字段值。,"g.V().has('Person', 'name', 'Rudy Bond').values('name')"
Dileep Rao 作为导演参与了多少部作品？,"g.V().has('Person', 'name', 'Dileep Rao').out('DIRECTED').count()"
有多少部电影是由名为 Dileep Rao 的人执导的？,"g.V().has('Person', 'name', 'Dileep Rao').out('DIRECTED').count()"
查询 Person 节点 Dileep Rao 通过 DIRECTED 边指向的节点总数是多少？,"g.V().has('Person', 'name', 'Dileep Rao').out('DIRECTED').count()"
Cate Blanchett出演了哪些电影或作品？,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').elementMap()"
列出所有由Cate Blanchett参演的影视作品。,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').elementMap()"
哪些作品中有Cate Blanchett的演出记录？,"g.V().has('Person', 'name', 'Cate Blanchett').out('ACTED_IN').elementMap()"
展示演员 John Noble 出演影片所涉及的所有电影类型，并列出完整的关联路径。,"g.V().has('Person', 'name', 'John Noble').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
John Noble 演过哪些类型的电影？请给出从演员到类型的完整路径关系。,"g.V().has('Person', 'name', 'John Noble').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
请查询 John Noble 参演作品与其对应电影类型的完整路径信息，包括中间节点。,"g.V().has('Person', 'name', 'John Noble').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出由 Dan Hedaya 出演且片长超过 150 分钟的所有影片名称和对应时长。,"g.V().has('Person', 'name', 'Dan Hedaya').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些电影是 Dan Hedaya 参演并且时长大于 150 分钟的？请提供片名和具体片长。,"g.V().has('Person', 'name', 'Dan Hedaya').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询 Dan Hedaya 主演的电影中，哪些时长超过两个半小时？显示这些电影的标题和播放时间。,"g.V().has('Person', 'name', 'Dan Hedaya').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
展示 Maria de Medeiros 出演过的电影涉及哪些类型，并列出完整路径关系  ,"g.V().has('Person', 'name', 'Maria de Medeiros').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Maria de Medeiros 参演的电影都归类到哪些类型？需要看到从演员到类型的完整路径  ,"g.V().has('Person', 'name', 'Maria de Medeiros').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
请查询演员 Maria de Medeiros 通过出演电影关联到的所有电影类型，并返回完整的遍历路径,"g.V().has('Person', 'name', 'Maria de Medeiros').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Rodrigo Santoro出演了哪些电影，这些电影分别属于什么类型？请显示完整路径。  ,"g.V().has('Person', 'name', 'Rodrigo Santoro').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示演员Rodrigo Santoro参演影片的类型，并列出从演员到类型的完整关系路径。  ,"g.V().has('Person', 'name', 'Rodrigo Santoro').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Rodrigo Santoro演过的电影涉及哪些类型？要求返回演员、电影和类型之间的路径信息。,"g.V().has('Person', 'name', 'Rodrigo Santoro').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
哪些由 Asa Butterfield 出演的电影时长超过了 2 小时，并列出它们的片名和时长？,"g.V().has('Person', 'name', 'Asa Butterfield').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
请找出 Asa Butterfield 参演且放映时间大于 120 分钟的所有影片，显示电影名称和持续时间。,"g.V().has('Person', 'name', 'Asa Butterfield').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
Asa Butterfield 演过哪些超过两小时的电影？告诉我这些电影的名字和具体时长。,"g.V().has('Person', 'name', 'Asa Butterfield').out('ACTED_IN').has('duration', gt(120)).valueMap('title', 'duration')"
"哪些电影类型的名称是""Drama""？","g.V().has('Genre', 'name', 'Drama').values('name')"
"""Drama""这个分类对应的名称是什么？","g.V().has('Genre', 'name', 'Drama').values('name')"
"请找出所有标签为""Drama""的类型的名称。","g.V().has('Genre', 'name', 'Drama').values('name')"
列出演员 John Marley 出演过的所有电影及其对应的电影类型，显示完整路径。,"g.V().has('Person', 'name', 'John Marley').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
John Marley 参演了哪些电影？这些电影分别属于什么类型？请返回从演员到类型的完整路径。,"g.V().has('Person', 'name', 'John Marley').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示从演员 John Marley 出发，通过他参演的电影最终到达电影类型的所有路径，包含各节点名称。,"g.V().has('Person', 'name', 'John Marley').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Bruno Kirby 执导了多少部作品？  ,"g.V().has('Person', 'name', 'Bruno Kirby').out('DIRECTED').count()"
统计名为 Bruno Kirby 的人作为导演参与的项目总数。  ,"g.V().has('Person', 'name', 'Bruno Kirby').out('DIRECTED').count()"
有多少个实体是通过 DIRECTED 关系从 Bruno Kirby 这个人物节点出发的？,"g.V().has('Person', 'name', 'Bruno Kirby').out('DIRECTED').count()"
Harry Lloyd出演了哪些电影，这些电影分别属于什么类型？显示完整路径。,"g.V().has('Person', 'name', 'Harry Lloyd').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出演员Harry Lloyd参演影片的类型信息，要求包含从演员到类型的完整路径关系。,"g.V().has('Person', 'name', 'Harry Lloyd').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示Harry Lloyd演过的所有电影及其对应的电影类型，需要呈现完整的关联路径。,"g.V().has('Person', 'name', 'Harry Lloyd').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出 Rob Riggle 参演的所有超过 150 分钟的电影名称和对应时长。,"g.V().has('Person', 'name', 'Rob Riggle').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Rob Riggle 演了哪些时长在 150 分钟以上的影片？告诉我片名和具体片长。,"g.V().has('Person', 'name', 'Rob Riggle').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询 Rob Riggle 主演的电影中片长大于 150 分钟的作品，返回片名和时长信息。,"g.V().has('Person', 'name', 'Rob Riggle').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Joss Whedon 导演了多少部作品？,"g.V().has('Person', 'name', 'Joss Whedon').out('DIRECTED').count()"
统计 Joss Whedon 作为导演参与的项目总数。,"g.V().has('Person', 'name', 'Joss Whedon').out('DIRECTED').count()"
有多少部电影或剧集是由 Joss Whedon 执导的？,"g.V().has('Person', 'name', 'Joss Whedon').out('DIRECTED').count()"
电影《Frozen》的时长是多少？,"g.V().has('Movie', 'title', 'Frozen').values('duration')"
查询《Frozen》这部电影的播放时长。,"g.V().has('Movie', 'title', 'Frozen').values('duration')"
告诉我 Movie 类型中标题为 'Frozen' 的 duration 属性值。,"g.V().has('Movie', 'title', 'Frozen').values('duration')"
列出 Liam Neeson 作为导演执导的所有电影及其属性,"g.V().has('Person', 'name', 'Liam Neeson').out('DIRECTED').elementMap()"
Liam Neeson 导演了哪些作品？请显示这些作品的完整信息,"g.V().has('Person', 'name', 'Liam Neeson').out('DIRECTED').elementMap()"
查询由 Liam Neeson 执导的实体，并返回它们的全部属性,"g.V().has('Person', 'name', 'Liam Neeson').out('DIRECTED').elementMap()"
James Eckhouse 执导了哪些作品？,"g.V().has('Person', 'name', 'James Eckhouse').out('DIRECTED').elementMap()"
哪些实体是通过 DIRECTED 关系与 James Eckhouse 相连的？,"g.V().has('Person', 'name', 'James Eckhouse').out('DIRECTED').elementMap()"
查询由 James Eckhouse 担任导演的所有图节点信息。,"g.V().has('Person', 'name', 'James Eckhouse').out('DIRECTED').elementMap()"
找出 John Rhys-Davies 参演过的所有电影或作品。,"g.V().has('Person', 'name', 'John Rhys-Davies').out('ACTED_IN').elementMap()"
John Rhys-Davies 出演了哪些影视作品？请列出详细信息。,"g.V().has('Person', 'name', 'John Rhys-Davies').out('ACTED_IN').elementMap()"
查询演员 John Rhys-Davies 参与演出的所有实体及其属性。,"g.V().has('Person', 'name', 'John Rhys-Davies').out('ACTED_IN').elementMap()"
Gemma Arterton 作为导演执导了多少部作品？  ,"g.V().has('Person', 'name', 'Gemma Arterton').out('DIRECTED').count()"
统计名为 Gemma Arterton 的人通过 DIRECTED 关系连接了多少个节点？  ,"g.V().has('Person', 'name', 'Gemma Arterton').out('DIRECTED').count()"
有多少实体是通过 DIRECTED 关系从 Gemma Arterton (Person) 出发的？,"g.V().has('Person', 'name', 'Gemma Arterton').out('DIRECTED').count()"
列出 Lana Wachowski 参演的所有超过90分钟的电影名称和片长。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
哪些由 Lana Wachowski 出演的电影时长大于90分钟？请提供片名和时长信息。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
查询 Lana Wachowski 主演的影片中，放映时间超过一个半小时的作品标题及其具体时长。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').has('duration', gt(90)).valueMap('title', 'duration')"
哪些实体通过 'ACTED_IN' 关系与名为 'Irvin Kershner' 的人相连？,"g.V().has('Person', 'name', 'Irvin Kershner').out('ACTED_IN').elementMap()"
'Irvin Kershner' 出演了哪些作品？请列出所有相关信息。,"g.V().has('Person', 'name', 'Irvin Kershner').out('ACTED_IN').elementMap()"
展示所有 'Irvin Kershner' 以演员身份参与的节点及其属性。,"g.V().has('Person', 'name', 'Irvin Kershner').out('ACTED_IN').elementMap()"
列出 Eli Wallach 参演的所有时长超过 150 分钟的电影名称和片长信息,"g.V().has('Person', 'name', 'Eli Wallach').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Eli Wallach 演过哪些电影时长超过两个半小时？请显示片名和具体时长,"g.V().has('Person', 'name', 'Eli Wallach').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
给我 Eli Wallach 主演的电影中片长大于 150 分钟的影片标题和持续时间,"g.V().has('Person', 'name', 'Eli Wallach').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
Bernard Hill 出演了哪些电影或电视作品？,"g.V().has('Person', 'name', 'Bernard Hill').out('ACTED_IN').elementMap()"
列出所有由 Bernard Hill 参演的作品信息。,"g.V().has('Person', 'name', 'Bernard Hill').out('ACTED_IN').elementMap()"
哪些影视作品中有 Bernard Hill 的演出？,"g.V().has('Person', 'name', 'Bernard Hill').out('ACTED_IN').elementMap()"
电影《阿甘正传》的时长是多少？,"g.V().has('Movie', 'title', 'Forrest Gump').values('duration')"
查询《阿甘正传》这部电影的播放时长,"g.V().has('Movie', 'title', 'Forrest Gump').values('duration')"
告诉我Movie类型中标题为'Forrest Gump'的duration属性值,"g.V().has('Movie', 'title', 'Forrest Gump').values('duration')"
哪些电影或作品是由 Carrie-Anne Moss 出演的？,"g.V().has('Person', 'name', 'Carrie-Anne Moss').out('ACTED_IN').elementMap()"
Carrie-Anne Moss 参演过哪些影视作品？,"g.V().has('Person', 'name', 'Carrie-Anne Moss').out('ACTED_IN').elementMap()"
查询 Carrie-Anne Moss 作为演员参与的所有项目。,"g.V().has('Person', 'name', 'Carrie-Anne Moss').out('ACTED_IN').elementMap()"
获取名为'Ritchie Coster'的Person实体的名称属性是什么？,"g.V().has('Person', 'name', 'Ritchie Coster').values('name')"
查询人物Ritchie Coster的姓名信息。,"g.V().has('Person', 'name', 'Ritchie Coster').values('name')"
请告诉我类型为Person且名字是Ritchie Coster的节点的name值。,"g.V().has('Person', 'name', 'Ritchie Coster').values('name')"
哪些电影类型与《黑客帝国2：重装上阵》相关联？,"g.V().has('Movie', 'title', 'The Matrix Reloaded').out('HAS_GENRE').elementMap()"
《黑客帝国2：重装上阵》这部电影属于哪些类型分类？,"g.V().has('Movie', 'title', 'The Matrix Reloaded').out('HAS_GENRE').elementMap()"
查询《黑客帝国2：重装上阵》所拥有的所有影片类型。,"g.V().has('Movie', 'title', 'The Matrix Reloaded').out('HAS_GENRE').elementMap()"
哪些电影或项目是由 Ben Mendelsohn 出演的？,"g.V().has('Person', 'name', 'Ben Mendelsohn').out('ACTED_IN').elementMap()"
Ben Mendelsohn 参演了哪些作品？请列出所有相关信息。,"g.V().has('Person', 'name', 'Ben Mendelsohn').out('ACTED_IN').elementMap()"
查询演员 Ben Mendelsohn 参与演出的所有实体及其属性。,"g.V().has('Person', 'name', 'Ben Mendelsohn').out('ACTED_IN').elementMap()"
列出 Joss Whedon 参演且片长超过两个半小时的电影名称和时长信息。,"g.V().has('Person', 'name', 'Joss Whedon').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
哪些由 Joss Whedon 出演的影片时长超过了 150 分钟？请提供片名和具体时长。,"g.V().has('Person', 'name', 'Joss Whedon').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
查询 Joss Whedon 主演的电影中，哪些电影的播放时间大于 150 分钟，并显示这些电影的标题和时长数据。,"g.V().has('Person', 'name', 'Joss Whedon').out('ACTED_IN').has('duration', gt(150)).valueMap('title', 'duration')"
获取名为'Emily Mortimer'的Person类型实体的名称属性是什么？,"g.V().has('Person', 'name', 'Emily Mortimer').values('name')"
查询人物Emily Mortimer的姓名信息。,"g.V().has('Person', 'name', 'Emily Mortimer').values('name')"
请返回Person类别中name字段等于Emily Mortimer的记录所对应的名称值。,"g.V().has('Person', 'name', 'Emily Mortimer').values('name')"
找出电影《指环王：护戒使者》所属的所有电影类型有哪些？,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Fellowship of the Ring').out('HAS_GENRE').elementMap()"
《指环王：护戒使者》这部电影被归类到哪些类型下面？,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Fellowship of the Ring').out('HAS_GENRE').elementMap()"
查询《指环王：护戒使者》这部影片关联了哪些电影类型？,"g.V().has('Movie', 'title', 'The Lord of the Rings: The Fellowship of the Ring').out('HAS_GENRE').elementMap()"
列出 Lana Wachowski 出演过的所有电影，并显示这些电影分别属于什么类型，同时展示完整的关联路径。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Lana Wachowski 参演的电影涉及哪些电影类别？请把从演员到类型的完整路径信息都呈现出来。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示演员 Lana Wachowski 参演影片的类型归属情况，要求包含从演员到类型的完整路径细节。,"g.V().has('Person', 'name', 'Lana Wachowski').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
展示 Jack Nicholson 出演过的电影涉及的所有电影类型及其完整路径。  ,"g.V().has('Person', 'name', 'Jack Nicholson').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
列出演员 Jack Nicholson 参演影片的所属类型，并显示从演员到类型的完整关系路径。  ,"g.V().has('Person', 'name', 'Jack Nicholson').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
Jack Nicholson 演过的电影分别属于哪些类型？要求返回包含演员、电影和类型名称的完整路径信息。,"g.V().has('Person', 'name', 'Jack Nicholson').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
有多少部电影是由 Nicholas Pileggi 执导的？,"g.V().has('Person', 'name', 'Nicholas Pileggi').out('DIRECTED').count()"
Nicholas Pileggi 作为导演参与了多少个项目？,"g.V().has('Person', 'name', 'Nicholas Pileggi').out('DIRECTED').count()"
统计 Nicholas Pileggi 执导的作品总数。,"g.V().has('Person', 'name', 'Nicholas Pileggi').out('DIRECTED').count()"
列出 Louis C.K. 出演过的电影所涉及的所有电影类型，并显示完整的关联路径  ,"g.V().has('Person', 'name', 'Louis C.K.').out('ACTED_IN').out('HAS_GENRE').path().by('name').by('title').by('name')"
